,user_id,device_id,merchant_id,card_number,transaction_amount,hour_of_day,has_cbk,Prediction
1842,1610,-1,873,466,100.73,18,False,False
1222,669,187,1140,2460,709.57,13,False,True
1960,464,1025,437,2028,635.41,14,False,False
472,2683,552,710,2763,820.01,21,True,True
2477,1004,-1,616,2163,418.23,12,False,False
1662,223,561,342,1894,279.17,2,False,False
1488,1771,1843,910,511,521.34,18,False,False
1010,178,1327,954,663,992.07,13,False,True
1237,1833,606,1358,1096,18.41,1,False,False
1011,1040,1272,777,1545,221.88,13,False,False
2581,697,1910,1105,182,1760.34,23,False,True
2254,2598,-1,1323,1543,579.72,15,True,False
1102,638,1385,1525,839,1759.44,15,False,False
1338,1431,1175,641,2313,268.76,1,False,False
361,1313,1147,542,1185,454.69,13,True,False
135,696,-1,1297,1684,991.37,3,True,True
2066,2486,129,1341,2785,1083.43,22,True,True
3113,1637,-1,606,1076,65.35,11,False,False
2699,730,1437,1108,1745,681.76,17,False,True
2413,2370,1960,896,2491,198.11,17,False,False
366,1579,-1,1666,32,851.91,13,False,False
1922,1883,848,460,1880,200.7,15,False,False
29,9,314,394,716,223.63,19,False,False
2669,234,1902,1405,1255,224.34,0,False,False
22,1230,773,1049,278,1126.56,19,False,False
1195,73,1512,1655,1959,252.61,15,False,False
1017,859,1055,1243,2061,637.83,12,False,False
3034,969,-1,1636,1890,301.87,15,False,False
420,1140,329,642,1678,523.43,0,False,True
3127,2374,-1,961,956,32.28,20,False,False
460,1201,-1,968,165,803.06,22,False,True
43,267,174,1236,1782,2507.78,18,True,True
87,209,446,339,560,646.11,14,True,True
1161,2255,1651,1433,1733,392.73,17,False,False
2877,1505,-1,1077,1451,80.41,21,False,False
1465,2154,585,422,1377,182.24,18,False,False
561,2384,1916,637,824,919.89,18,False,True
282,2572,1021,1474,884,10.47,17,True,False
2293,530,1348,74,2772,818.41,20,False,True
794,302,1091,339,158,539.44,22,True,True
